fold,model,MAE,MSE,RMSE,MAPE
1,Naive,3070.200666666666,12483195.335845664,3533.1565682609744,11.39456173788121
1,SeasonalNaive,294.9725000000006,117701.25925550023,343.0761712149362,1.13512512539101
1,RollingMean,2132.9824213115508,5390523.947660308,2321.7501906235107,8.447957471165985
1,ETS,680.2305748616983,743643.2254202791,862.3475085023897,2.5652691125826426
1,HistGB,217.88565756004832,70259.34071742948,265.0647858872043,0.8354050411904436
1,ElasticNet,305.49804724006253,115265.56559663925,339.5078284762212,1.1718048479291263
2,Naive,2664.554083333334,9722825.990958838,3118.144639197938,10.115317389150862
2,SeasonalNaive,715.0842500000003,603968.3612899167,777.1540138800781,2.7919357763387165
2,RollingMean,2027.5285681122941,5212879.084143661,2283.1730298301222,8.422276806929657
2,ETS,559.3609841201559,465533.31778407836,682.3000203606024,2.1284425071292272
2,HistGB,576.3064254860296,481028.05925609,693.5618640439294,2.211860486933588
2,ElasticNet,332.4095330018763,159165.0409978714,398.9549360490122,1.2955125392503721
3,Naive,3234.540916666667,14356344.32756342,3788.976686067548,12.343279783910898
3,SeasonalNaive,871.2360833333337,1185275.3675239172,1088.7035259995796,3.303231331122535
3,RollingMean,2485.2031264880184,8431106.292380413,2903.6367356094,10.778635330542956
3,ETS,702.561452025246,657520.7203186745,810.8765136065259,2.789676567346744
3,HistGB,448.72243703170915,317280.8837173917,563.27691566173,1.7291965660239366
3,ElasticNet,812.6202607193935,1034770.8404203936,1017.2368654450121,3.1332547906335764
4,Naive,4691.1154166666665,30188317.102354,5494.389602344741,16.729248897317373
4,SeasonalNaive,696.3860000000009,728128.5603388343,853.304494502891,2.493510520838005
4,RollingMean,3118.7417396944024,11414632.316517437,3378.5547674290315,12.310528630745459
4,ETS,481.9436382365132,393598.05326605105,627.373934162116,2.0577328704416513
4,HistGB,494.22806699058765,466755.76783576823,683.1952633294293,1.8540726991225134
4,ElasticNet,839.7076638979973,850446.7099772855,922.1966764076335,3.158456722285218
5,Naive,3572.343583333335,16874047.577363018,4107.803254461321,13.122113441682737
5,SeasonalNaive,616.9758333333333,736973.7617325837,858.4717594263562,2.367638033504685
5,RollingMean,2194.4578427769616,6710219.718605463,2590.409179763974,8.776178677105454
5,ETS,854.8833975112326,1087033.0873943625,1042.6087892370572,3.2779276308748115
5,HistGB,884.1556534626471,1232714.5629776528,1110.2767956584757,3.3217233068256156
5,ElasticNet,1223.080688623325,2036832.423178953,1427.1763812433812,4.711488413099552
6,Naive,3753.0354166666675,18603198.63490526,4313.142547482666,13.845664191593714
6,SeasonalNaive,671.3087499999998,653358.566104583,808.305985443992,2.638504090542533
6,RollingMean,2219.304180436293,7065115.601447552,2658.028517801785,8.998551803159891
6,ETS,627.4855148738102,568716.017246203,754.1326257669821,2.3631660506145122
6,HistGB,384.5964497618258,222488.59001115648,471.6869618837863,1.511944722778411
6,ElasticNet,860.7810045435878,912623.832917457,955.3134736396514,3.374585724561944
